,Projection,,Projection (years),25,,,,
.,Suitable Area m²,Initial cost (AED),Annual cost (AED),Cost (AED) / kWh,"Annually, Electricity produced (kWh)",Avoided Carbon Emissions (Annually) (Kg),Weight,Cost (AED) per weight
1,27200,8336386,239406,0.086868578,6594576,2660912,0.009011848,0.000782846
2,13600,4168943,119703,0.086877676,3297288,1330456,0.009011848,0.000782928
3,12277,3860059,110831,0.084071676,3154848,1272981,0.009011848,0.000757641
4,9700,2604595,74770,0.084194693,2125476,857630,0.009011848,0.00075875
5,8300,2514919,72194,0.08426565,2050548,827396,0.028190908,0.002375525
6,6317.1,2223419,77558,0.103965137,1601448,646184,0.028190908,0.002930872
7,6000,2148981,74959,0.104044298,1546632,624066,0.028190908,0.002933103
8,5800,1925665,67164,0.103485284,1393344,562214,0.028190908,0.002917344
9,5600,1820328,63487,0.108384241,1257564,507427,0.028190908,0.00305545
10,4465,1557686,54320,0.103748514,1124136,453589,0.028190908,0.002924765
11,3915,1480200,54219,0.120023999,945036,381322,0.028190908,0.003383586
12,3170,1208310,44250,0.120732986,766836,309418,0.028190908,0.003403573
13,2660,972990,35621,0.131740932,565812,228305,0.028190908,0.003713897
14,2424,899850,32940,0.119856869,575136,232940,0.028190908,0.003378874
15,2389,925290,33872,0.11987026,591336,238604,0.028190908,0.003379252
16,2149,790140,28917,0.121390921,498576,201175,0.028190908,0.00342212
17,2140,777420,28450,0.120483498,494232,199423,0.048127824,0.005798609
18,1920,734490,26876,0.120764746,465828,187962,0.048127824,0.005812144
19,1885,694740,25419,0.120235642,442536,178563,0.048127824,0.00578668
20,1870,682020,24952,0.126125969,414132,167102,0.048127824,0.006070168
21,1862,677250,24778,0.120081493,431940,174288,0.048127824,0.005779261
22,1800,659760,24136,0.126788923,398508,160798,0.048127824,0.006102075
23,1745,654990,23961,0.119809969,418668,168933,0.048127824,0.005766193
24,1650,670201,27110,0.164790215,327192,132022,0.048127824,0.007930994
25,1490,654513,26474,0.1638062,321444,129703,0.048127824,0.007883636
26,1450,640786,25917,0.155556883,331380,133712,0.048127824,0.007486614
27,1305,583917,23612,0.155901245,301272,121563,0.048127824,0.007503188
28,1300,566268,22896,0.155282085,293316,118353,0.048127824,0.007473389
29,1291,550580,22260,0.185170689,239148,96496,0.048127824,0.008911862
30,1090,515282,20829,0.156112141,265452,107110,0.023726481,0.003703992
31,1078,476062,19239,0.155380806,246372,99411,0.023726481,0.00368664
32,1070,476062,19239,0.157903447,242436,97823,0.023726481,0.003746493
33,950,407472,16475,0.156039346,210036,84750,0.023726481,0.003702265
34,1060,332220,16112,0.194480605,151176,61000,0.023726481,0.00461434
35,983,409388,16536,0.155477702,211680,85413,0.023726481,0.003688939
36,970,395661,15980,0.156660362,203028,81922,0.023726481,0.003716999
37,940,376051,15185,0.179897158,168024,67798,0.072800753,0.013096649
38,920,385856,15582,0.155704016,199200,80377,0.072800753,0.01133537
39,810,305349,14803,0.188276746,143496,57901,0.072800753,0.013706689
40,805,361158,17522,0.181275631,176352,17522,0.153878093,0.027894348
41,795,340488,16515,0.180818692,166656,67246,0.153878093,0.027824036
42,635,301215,14601,0.180773301,147420,59484,0.153878093,0.027817051
43,605,278478,13494,0.182192243,135204,54555,0.153878093,0.028035395
44,513,228870,11077,0.180938327,111816,45118,0.056451524,0.010214244
45,418,197070,11210,0.209681954,91056,36741,0.056451524,0.011836866
46,376.8,162302,9217,0.220906176,71112,28694,0.038423918,0.008488081
47,325,144918,8220,0.210499189,66588,26868,0.038423918,0.008088204
48,300,138399,7847,0.209082615,64008,25827,0.038423918,0.008033773
49,280,112323,6352,0.213903748,50700,20457,0.038423918,0.00821902
50,250,105804,5978,0.210814338,48432,19542,0.038423918,0.008100313
51,240,94939,5356,0.216580541,42264,17054,0.038423918,0.008321873
52,230,84074,4733,0.209327748,38676,16606,0.038423918,0.008043192
53,223,73209,4110,0.210452099,33444,13412,0.123625906,0.026017331
54,218,68863,3861,0.210176643,31476,12701,0.123625906,0.025983278
55,200,75382,4235,0.243330648,29796,12023,0.123625906,0.030081972
56,145,47133,2616,0.212526912,21180,8546,0.123625906,0.026273832
57,123,43397,2478,0.244708479,17220,6948,0.123625906,0.030252307
58,90,40932,2332,0.259430065,15300,6174,0.052593868,0.013644431
59,85,36003,2041,0.259417244,13419,5414,0.052593868,0.013643756
60,65,28610,1603,0.250766703,10956,4421,0.052593868,0.013188791
61,60,23680,1312,0.288752556,7824,3157,0.052593868,0.015186614
62,60,21216,1166,0.294022183,6852,3065,0.052593868,0.015463764
63,50,18752,1020,0.301034014,5880,2373,0.064369034,0.019377269
64,45,16287,875,0.284578673,5364,2164,0.064369034,0.018318054
65,43,13823,729,0.452655367,2832,1143,0.064369034,0.029136989
66,40,13823,729,0.318885572,4020,1917,0.064369034,0.020526356
67,35,11358,583,0.327436869,3168,1557,0.064369034,0.021076795
68,32,8894,437,0.326104484,2431,1167,0.064369034,0.020991031
69,20,6429,292,0.346691919,1584,794,0.175408227,0.060812615
70,6,3965,146,0.396614583,768,310,0.175408227,0.069569461
